A�o,Categoria,Recomendaci�n,Amabilidad,Asesorias,Rapidez,Comentarios
2024,Otro,8,Malo,Muy Malo,Neutral,Fallan equipos
2023,Otro,5,Muy Malo,Muy Bueno,Muy Bueno,Muy pocas computadoras
2024,Personal Administrativo,5,Bueno,Muy Malo,Muy Malo,Podrían mejorar el horario de servicio
2023,Otro,6,Neutral,Malo,Muy Bueno,Me caen muy bien
2023,Docente,6,Bueno,Malo,Bueno,Fallan equipos
2023,Otro,9,Muy Malo,Bueno,Muy Bueno,"Todo excelente, gracias"
2024,Docente,8,Muy Bueno,Bueno,Bueno,Bien
2024,Alumno,0,Neutral,Bueno,Muy Malo,Muchas cosas porque el personal es muy soberbio
2023,Personal Administrativo,5,Muy Bueno,Malo,Muy Bueno,Podrían mejorar el horario de servicio
2023,Alumno,4,Muy Bueno,Malo,Neutral,Se llenan todas las aulas y no puedo trabajar
2023,Otro,7,Bueno,Muy Bueno,Neutral,Nada
2023,Personal Administrativo,8,Neutral,Muy Bueno,Malo,Atienden muy lento
2024,Otro,7,Bueno,Malo,Neutral,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2024,Alumno,8,Neutral,Muy Bueno,Neutral,Compren equipo nuevo
2023,Docente,7,Bueno,Muy Bueno,Bueno,Muy pocas computadoras
2024,Docente,6,Bueno,Bueno,Muy Malo,Fallan equipos
2024,Docente,1,Neutral,Malo,Bueno,Excelente
2024,Otro,2,Muy Bueno,Bueno,Bueno,Muy Bien
2023,Personal Administrativo,4,Muy Malo,Bueno,Muy Bueno,El Internet esta muy lento
2024,Alumno,1,Bueno,Muy Malo,Neutral,Muchas cosas porque el personal es muy soberbio
2024,Alumno,3,Muy Malo,Neutral,Malo,Las aulas de cómputo estan muy sucias
2023,Docente,0,Muy Malo,Bueno,Bueno,Muy Bien
2023,Docente,7,Muy Bueno,Bueno,Bueno,Mejorar el internet
2023,Otro,8,Malo,Malo,Bueno,No funcionan los proyectores
2023,Personal Administrativo,8,Muy Malo,Bueno,Muy Malo,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2023,Alumno,9,Bueno,Muy Malo,Muy Malo,Nada
2024,Alumno,7,Neutral,Bueno,Neutral,"Cada que se quiere consultar algo, sale un texto que se repasó el número de impresiones, lo cual nunca se puede consultar nada"
2024,Alumno,9,Muy Malo,Muy Malo,Muy Malo,Baños sucios
2024,Alumno,8,Malo,Bueno,Malo,Muy Bien
2023,Personal Administrativo,7,Muy Bueno,Neutral,Muy Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Personal Administrativo,7,Malo,Muy Malo,Malo,Nadie atiende
2023,Personal Administrativo,6,Bueno,Muy Bueno,Malo,Cambiar el sistema de pago de copias e impresiones
2024,Personal Administrativo,5,Bueno,Neutral,Bueno,Muy Bien
2023,Personal Administrativo,4,Malo,Bueno,Bueno,No funcionan los proyectores
2024,Docente,1,Malo,Bueno,Malo,"Todo muy bien, el ambiente es agradable"
2023,Otro,0,Bueno,Neutral,Neutral,Se llenan todas las aulas y no puedo trabajar
2024,Personal Administrativo,0,Muy Bueno,Malo,Muy Bueno,"Todo muy bien, el ambiente es agradable"
2024,Personal Administrativo,9,Bueno,Muy Malo,Muy Bueno,El Internet esta muy lento
2023,Alumno,5,Muy Bueno,Muy Malo,Muy Malo,"Cada que se quiere consultar algo, sale un texto que se repasó el número de impresiones, lo cual nunca se puede consultar nada"
2023,Docente,4,Muy Bueno,Bueno,Muy Bueno,Cambiar el sistema de pago de copias e impresiones
2023,Alumno,3,Muy Bueno,Muy Malo,Malo,El Internet esta muy lento
2023,Otro,0,Bueno,Malo,Bueno,Muy pocas computadoras
2023,Personal Administrativo,3,Muy Bueno,Malo,Bueno,Cambiar el sistema de pago de copias e impresiones
2024,Docente,8,Muy Bueno,Malo,Neutral,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2024,Otro,6,Muy Bueno,Malo,Muy Bueno,Podrían mejorar el horario de servicio
2024,Docente,8,Malo,Malo,Muy Bueno,Muy Bien
2023,Alumno,2,Muy Malo,Muy Malo,Malo,Compren equipo nuevo
2023,Personal Administrativo,1,Malo,Muy Bueno,Muy Bueno,Me atendieron de una forma muy grosera
2024,Alumno,9,Malo,Bueno,Bueno,"Todo muy bien, el ambiente es agradable"
2023,Alumno,0,Malo,Malo,Malo,"Todo muy bien, el ambiente es agradable"
2024,Docente,1,Malo,Muy Malo,Neutral,Excelente
2024,Otro,4,Malo,Muy Bueno,Neutral,Computadoras lentas
2023,Otro,3,Bueno,Neutral,Neutral,Baños sucios
2024,Otro,6,Muy Malo,Bueno,Bueno,"Todo excelente, gracias"
2024,Docente,8,Bueno,Muy Bueno,Bueno,Atienden muy lento
2023,Personal Administrativo,1,Malo,Malo,Muy Malo,Fallan equipos
2024,Otro,5,Bueno,Neutral,Muy Bueno,Mejorar el internet
2024,Alumno,0,Muy Bueno,Malo,Muy Bueno,"Cada que se quiere consultar algo, sale un texto que se repasó el número de impresiones, lo cual nunca se puede consultar nada"
2023,Otro,3,Malo,Bueno,Bueno,Me caen muy bien
2023,Personal Administrativo,0,Neutral,Malo,Muy Malo,Atienden muy lento
2023,Alumno,2,Bueno,Malo,Malo,Baños sucios
2024,Alumno,8,Neutral,Malo,Muy Malo,Muy pocas computadoras
2024,Alumno,6,Muy Bueno,Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Otro,0,Neutral,Neutral,Muy Malo,Cambiar el sistema de pago de copias e impresiones
2024,Docente,9,Muy Malo,Malo,Neutral,Computadoras lentas
2023,Otro,1,Bueno,Bueno,Bueno,Equipos viejos
2024,Personal Administrativo,5,Muy Malo,Muy Bueno,Bueno,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2024,Personal Administrativo,9,Bueno,Neutral,Muy Bueno,"Todo excelente, gracias"
2023,Alumno,8,Muy Malo,Neutral,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Docente,4,Malo,Bueno,Neutral,Equipos viejos
2023,Alumno,0,Muy Malo,Bueno,Muy Bueno,Cambiar el sistema de pago de copias e impresiones
2023,Alumno,5,Neutral,Muy Malo,Neutral,Computadoras lentas
2024,Docente,8,Bueno,Malo,Malo,Me caen muy bien
2024,Personal Administrativo,1,Bueno,Muy Bueno,Muy Malo,Equipos viejos
2024,Otro,1,Muy Malo,Neutral,Bueno,Muy pocas computadoras
2024,Alumno,2,Neutral,Muy Bueno,Malo,
2023,Otro,8,Bueno,Muy Malo,Muy Malo,Nada
2023,Alumno,9,Muy Bueno,Muy Malo,Muy Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Alumno,9,Neutral,Muy Bueno,Muy Malo,
2024,Personal Administrativo,3,Malo,Malo,Bueno,"Todo excelente, gracias"
2024,Otro,9,Muy Bueno,Bueno,Malo,Las aulas de cómputo estan muy sucias
2024,Docente,4,Bueno,Muy Malo,Muy Malo,"Todo excelente, gracias"
2023,Alumno,4,Malo,Muy Malo,Bueno,Muy pocas computadoras
2024,Docente,6,Malo,Malo,Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Personal Administrativo,4,Bueno,Muy Malo,Neutral,Mejorar el internet
2024,Docente,2,Malo,Malo,Muy Bueno,"Todo excelente, gracias"
2024,Docente,2,Muy Malo,Bueno,Muy Malo,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2023,Personal Administrativo,9,Bueno,Muy Malo,Malo,Excelente
2024,Otro,8,Malo,Malo,Bueno,Bien
2024,Otro,8,Muy Bueno,Muy Malo,Muy Malo,Atienden muy lento
2024,Otro,7,Muy Bueno,Muy Bueno,Neutral,Atienden muy lento
2023,Docente,4,Bueno,Muy Malo,Neutral,Equipos viejos
2023,Docente,0,Muy Bueno,Neutral,Bueno,Muy Bien
2023,Alumno,8,Muy Malo,Malo,Bueno,Fallan equipos
2024,Alumno,9,Bueno,Muy Malo,Bueno,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2023,Docente,4,Malo,Malo,Muy Malo,Mejorar el internet
2024,Personal Administrativo,6,Malo,Muy Malo,Muy Malo,Podrían mejorar el horario de servicio
2023,Otro,0,Bueno,Muy Malo,Neutral,Excelente
2024,Docente,5,Bueno,Malo,Bueno,Las aulas de cómputo estan muy sucias
2024,Docente,2,Neutral,Muy Bueno,Malo,El Internet esta muy lento
2023,Personal Administrativo,9,Muy Malo,Muy Bueno,Neutral,Equipos viejos
2023,Otro,4,Neutral,Muy Bueno,Neutral,"Todo excelente, gracias"
2024,Personal Administrativo,3,Malo,Malo,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Personal Administrativo,0,Malo,Neutral,Malo,Me caen muy bien
2023,Otro,8,Neutral,Muy Malo,Neutral,No funcionan los proyectores
2023,Otro,6,Muy Bueno,Muy Bueno,Muy Malo,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2023,Docente,2,Muy Malo,Neutral,Muy Bueno,No funcionan las computadoras
2024,Alumno,4,Muy Bueno,Muy Malo,Neutral,"Todo muy bien, el ambiente es agradable"
2024,Alumno,0,Muy Malo,Bueno,Muy Bueno,Nadie atiende
2024,Alumno,1,Malo,Neutral,Malo,Compren equipo nuevo
2024,Docente,4,Muy Malo,Muy Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Personal Administrativo,0,Muy Bueno,Bueno,Neutral,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2024,Personal Administrativo,0,Malo,Muy Malo,Malo,
2024,Personal Administrativo,2,Neutral,Neutral,Muy Malo,
2024,Otro,6,Neutral,Muy Malo,Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Alumno,8,Neutral,Bueno,Muy Malo,Equipos viejos
2024,Otro,9,Malo,Muy Malo,Bueno,Mejorar el internet
2024,Personal Administrativo,6,Neutral,Neutral,Muy Bueno,No funcionan las computadoras
2024,Otro,8,Bueno,Neutral,Malo,Equipos viejos
2023,Alumno,2,Neutral,Neutral,Muy Malo,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2023,Otro,6,Muy Malo,Muy Bueno,Muy Malo,"Todo muy bien, el ambiente es agradable"
2023,Docente,1,Neutral,Muy Malo,Bueno,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2024,Docente,8,Neutral,Muy Malo,Bueno,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2024,Alumno,4,Muy Malo,Muy Bueno,Bueno,Computadoras lentas
2024,Otro,6,Muy Malo,Bueno,Muy Bueno,Excelente
2023,Alumno,0,Muy Bueno,Muy Bueno,Muy Bueno,"Cada que se quiere consultar algo, sale un texto que se repasó el número de impresiones, lo cual nunca se puede consultar nada"
2024,Alumno,0,Muy Malo,Muy Bueno,Neutral,Excelente
2024,Docente,1,Neutral,Malo,Muy Malo,Muy Bien
2023,Personal Administrativo,3,Bueno,Neutral,Neutral,Nada
2023,Alumno,8,Malo,Muy Bueno,Muy Bueno,"Todo muy bien, el ambiente es agradable"
2023,Docente,7,Muy Bueno,Muy Malo,Muy Bueno,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2023,Personal Administrativo,2,Malo,Muy Malo,Malo,No funcionan las computadoras
2024,Alumno,2,Malo,Muy Malo,Muy Bueno,Se llenan todas las aulas y no puedo trabajar
2024,Alumno,8,Malo,Muy Bueno,Malo,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2023,Personal Administrativo,0,Neutral,Muy Bueno,Malo,Me atendieron de una forma muy grosera
2024,Docente,9,Muy Bueno,Muy Malo,Neutral,Mejorar el internet
2023,Otro,9,Neutral,Bueno,Neutral,Muchas cosas porque el personal es muy soberbio
2023,Otro,1,Muy Bueno,Muy Bueno,Neutral,Nadie atiende
2023,Personal Administrativo,9,Malo,Muy Bueno,Bueno,Baños sucios
2024,Docente,1,Neutral,Muy Malo,Bueno,No funcionan los proyectores
2023,Otro,5,Bueno,Bueno,Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Docente,8,Neutral,Bueno,Bueno,"Todo muy bien, el ambiente es agradable"
2023,Otro,2,Malo,Malo,Neutral,Baños sucios
2024,Personal Administrativo,0,Muy Bueno,Muy Malo,Malo,Atienden muy lento
2024,Alumno,3,Neutral,Muy Bueno,Muy Bueno,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2024,Otro,0,Malo,Muy Bueno,Neutral,"Todo excelente, gracias"
2023,Otro,6,Neutral,Muy Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Personal Administrativo,8,Bueno,Malo,Muy Bueno,No funcionan los proyectores
2024,Personal Administrativo,0,Neutral,Malo,Muy Bueno,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2023,Alumno,8,Muy Malo,Muy Malo,Bueno,Excelente
2024,Docente,2,Muy Malo,Bueno,Muy Bueno,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2024,Alumno,8,Bueno,Bueno,Bueno,Nada
2024,Otro,7,Neutral,Bueno,Muy Malo,No funcionan las computadoras
2023,Personal Administrativo,6,Muy Malo,Muy Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones
2023,Alumno,0,Bueno,Neutral,Muy Malo,"Cada que se quiere consultar algo, sale un texto que se repasó el número de impresiones, lo cual nunca se puede consultar nada"
2024,Alumno,9,Bueno,Bueno,Malo,Nada
2024,Otro,4,Bueno,Muy Bueno,Malo,El Internet esta muy lento
2024,Otro,9,Muy Malo,Neutral,Neutral,Baños sucios
2023,Alumno,3,Muy Bueno,Muy Bueno,Neutral,Podrían mejorar el horario de servicio
2024,Personal Administrativo,0,Malo,Neutral,Muy Malo,Bien
2024,Alumno,9,Muy Malo,Malo,Bueno,Equipos viejos
2023,Alumno,9,Muy Bueno,Muy Malo,Muy Bueno,Bien
2023,Personal Administrativo,9,Bueno,Muy Bueno,Muy Malo,Compren equipo nuevo
2023,Otro,1,Muy Malo,Bueno,Malo,Se llenan todas las aulas y no puedo trabajar
2023,Docente,0,Muy Malo,Malo,Bueno,El Internet esta muy lento
2023,Personal Administrativo,8,Neutral,Muy Bueno,Muy Bueno,Atienden muy lento
2024,Alumno,9,Bueno,Bueno,Muy Bueno,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2023,Personal Administrativo,8,Neutral,Malo,Muy Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Personal Administrativo,1,Muy Malo,Malo,Muy Malo,Atienden muy lento
2024,Otro,6,Malo,Bueno,Muy Malo,Equipos viejos
2024,Otro,6,Neutral,Bueno,Muy Bueno,No funcionan los proyectores
2024,Otro,4,Bueno,Bueno,Bueno,Nada
2023,Personal Administrativo,0,Bueno,Muy Malo,Malo,El Internet esta muy lento
2023,Otro,7,Neutral,Muy Malo,Neutral,"Todo muy bien, el ambiente es agradable"
2023,Docente,5,Neutral,Muy Bueno,Neutral,Nada
2023,Alumno,4,Neutral,Neutral,Malo,Cambiar el sistema de pago de copias e impresiones
2023,Alumno,2,Muy Bueno,Muy Malo,Bueno,
2023,Personal Administrativo,5,Muy Bueno,Bueno,Neutral,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2024,Otro,3,Malo,Bueno,Neutral,Nadie atiende
2024,Docente,4,Muy Bueno,Neutral,Neutral,
2023,Alumno,2,Malo,Malo,Neutral,Muy pocas computadoras
2024,Otro,5,Muy Bueno,Bueno,Bueno,Podrían mejorar el horario de servicio
2024,Alumno,7,Muy Bueno,Muy Malo,Neutral,Bien
2023,Personal Administrativo,1,Malo,Malo,Muy Malo,"Todo excelente, gracias"
2024,Otro,6,Muy Malo,Malo,Bueno,Muy pocas computadoras
2024,Docente,8,Muy Bueno,Bueno,Neutral,Muchas cosas porque el personal es muy soberbio
2023,Alumno,6,Muy Bueno,Muy Bueno,Muy Malo,Muchas cosas porque el personal es muy soberbio
2023,Alumno,9,Malo,Malo,Muy Bueno,Se llenan todas las aulas y no puedo trabajar
2023,Personal Administrativo,6,Neutral,Muy Bueno,Malo,"Todo muy bien, el ambiente es agradable"
2023,Personal Administrativo,0,Muy Bueno,Neutral,Neutral,"Cada que se quiere consultar algo, sale un texto que se repasó el número de impresiones, lo cual nunca se puede consultar nada"
2024,Alumno,6,Muy Bueno,Muy Bueno,Bueno,Fallan equipos
2024,Alumno,7,Malo,Bueno,Malo,No funcionan las computadoras
2024,Alumno,1,Bueno,Neutral,Muy Bueno,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2023,Alumno,3,Bueno,Bueno,Muy Malo,No funcionan los proyectores
2024,Docente,5,Muy Bueno,Bueno,Muy Bueno,Me caen muy bien
2024,Alumno,5,Malo,Bueno,Muy Bueno,Excelente
2024,Otro,7,Malo,Neutral,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Alumno,6,Neutral,Neutral,Muy Bueno,Baños sucios
2023,Alumno,2,Muy Bueno,Bueno,Muy Bueno,Podrían mejorar el horario de servicio
2024,Personal Administrativo,7,Muy Malo,Bueno,Muy Bueno,Bien
2024,Docente,3,Muy Bueno,Neutral,Neutral,No funcionan los proyectores
2024,Docente,8,Malo,Malo,Muy Malo,Muy pocas computadoras
2024,Personal Administrativo,4,Neutral,Bueno,Neutral,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2023,Alumno,6,Malo,Neutral,Muy Malo,Baños sucios
2023,Personal Administrativo,5,Neutral,Neutral,Malo,Muy pocas computadoras
2023,Docente,5,Bueno,Muy Bueno,Bueno,Las aulas de cómputo estan muy sucias
2024,Personal Administrativo,7,Neutral,Bueno,Muy Bueno,No funcionan las computadoras
2023,Personal Administrativo,8,Muy Bueno,Malo,Bueno,Equipos viejos
2024,Docente,8,Neutral,Malo,Neutral,Baños sucios
2024,Alumno,5,Bueno,Neutral,Muy Malo,Se llenan todas las aulas y no puedo trabajar
2023,Docente,6,Malo,Bueno,Muy Bueno,Bien
2023,Docente,5,Bueno,Malo,Muy Malo,No funcionan las computadoras
2023,Docente,7,Malo,Malo,Muy Bueno,Muy pocas computadoras
2024,Otro,4,Bueno,Muy Bueno,Bueno,Nadie atiende
2024,Docente,6,Bueno,Neutral,Neutral,
2023,Docente,6,Malo,Neutral,Muy Malo,Excelente
2024,Otro,1,Bueno,Malo,Muy Bueno,Nada
2023,Docente,4,Neutral,Neutral,Malo,"Cada que se quiere consultar algo, sale un texto que se repasó el número de impresiones, lo cual nunca se puede consultar nada"
2023,Docente,3,Malo,Muy Bueno,Muy Malo,Nada
2023,Alumno,4,Muy Malo,Muy Bueno,Bueno,No funcionan las computadoras
2024,Docente,5,Muy Bueno,Bueno,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Personal Administrativo,7,Malo,Malo,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Docente,2,Muy Bueno,Muy Malo,Neutral,Me caen muy bien
2024,Alumno,2,Bueno,Bueno,Bueno,Muchas cosas porque el personal es muy soberbio
2023,Otro,4,Malo,Neutral,Muy Malo,Nadie atiende
2023,Otro,5,Muy Malo,Muy Malo,Malo,Muy pocas computadoras
2024,Docente,2,Bueno,Muy Bueno,Neutral,Baños sucios
2023,Otro,5,Neutral,Muy Bueno,Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Alumno,9,Bueno,Muy Malo,Neutral,"Todo excelente, gracias"
2023,Docente,0,Neutral,Muy Malo,Malo,No funcionan los proyectores
2023,Personal Administrativo,1,Muy Malo,Neutral,Bueno,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2023,Alumno,9,Muy Malo,Malo,Muy Bueno,Nada
2024,Alumno,5,Bueno,Muy Malo,Neutral,No funcionan los proyectores
2024,Alumno,2,Muy Malo,Muy Malo,Neutral,Muy Bien
2023,Personal Administrativo,6,Malo,Bueno,Muy Bueno,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2024,Otro,9,Bueno,Muy Malo,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Otro,1,Muy Bueno,Muy Malo,Malo,
2024,Otro,1,Muy Malo,Neutral,Muy Bueno,Atienden muy lento
2024,Docente,1,Neutral,Bueno,Muy Malo,Nadie atiende
2024,Alumno,1,Neutral,Muy Bueno,Muy Bueno,Mejorar el internet
2024,Docente,7,Neutral,Malo,Muy Bueno,El Internet esta muy lento
2024,Alumno,4,Muy Malo,Neutral,Neutral,Mejorar el internet
2023,Personal Administrativo,0,Malo,Malo,Malo,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2024,Alumno,7,Malo,Muy Malo,Muy Bueno,Cambiar el sistema de pago de copias e impresiones
2024,Alumno,0,Neutral,Muy Malo,Muy Bueno,Nada
2024,Docente,1,Muy Malo,Malo,Muy Bueno,Muchas cosas porque el personal es muy soberbio
2024,Alumno,5,Malo,Malo,Malo,Podrían mejorar el horario de servicio
2023,Alumno,2,Muy Bueno,Bueno,Muy Malo,Nada
2023,Otro,8,Neutral,Neutral,Muy Malo,Cambiar el sistema de pago de copias e impresiones
2024,Alumno,9,Malo,Malo,Bueno,Me caen muy bien
2024,Otro,4,Muy Bueno,Muy Bueno,Bueno,Compren equipo nuevo
2023,Docente,8,Muy Malo,Muy Malo,Muy Bueno,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2023,Personal Administrativo,7,Muy Malo,Muy Malo,Muy Bueno,Nada
2023,Personal Administrativo,7,Muy Bueno,Neutral,Muy Malo,Mejorar el internet
2024,Personal Administrativo,6,Muy Malo,Neutral,Bueno,Computadoras lentas
2024,Alumno,6,Malo,Muy Bueno,Bueno,Compren equipo nuevo
2024,Alumno,9,Malo,Muy Bueno,Neutral,Fallan equipos
2024,Personal Administrativo,3,Malo,Neutral,Malo,No funcionan las computadoras
2023,Otro,8,Bueno,Neutral,Muy Malo,"Todo excelente, gracias"
2023,Alumno,2,Muy Bueno,Malo,Malo,Podrían mejorar el horario de servicio
2023,Docente,8,Bueno,Muy Malo,Bueno,"Cada que se quiere consultar algo, sale un texto que se repasó el número de impresiones, lo cual nunca se puede consultar nada"
2024,Otro,6,Muy Bueno,Malo,Muy Malo,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2024,Otro,8,Bueno,Bueno,Bueno,Me caen muy bien
2023,Docente,9,Muy Bueno,Muy Malo,Muy Bueno,Baños sucios
2024,Docente,4,Bueno,Muy Bueno,Malo,El Internet esta muy lento
2024,Alumno,8,Neutral,Neutral,Muy Malo,Podrían mejorar el horario de servicio
2023,Otro,4,Muy Bueno,Muy Bueno,Bueno,Se llenan todas las aulas y no puedo trabajar
2023,Docente,1,Muy Malo,Neutral,Malo,Se llenan todas las aulas y no puedo trabajar
2023,Personal Administrativo,9,Muy Malo,Malo,Muy Bueno,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2023,Docente,1,Bueno,Muy Bueno,Muy Malo,Nada
2024,Alumno,7,Bueno,Muy Malo,Malo,"Todo muy bien, el ambiente es agradable"
